the similarityResults of the 3083 corpus:

(3083, 0.99999988)
(3072, 0.99795765)
(1768, 0.99126881)
(3126, 0.98801547)
(3061, 0.98759872)
(216, 0.98063159)
(2815, 0.97925681)
(275, 0.97593701)
(1603, 0.9743591)
(672, 0.97408545)
(817, 0.97341627)
(394, 0.97335488)
(1292, 0.97313589)
(1208, 0.97312987)
(1871, 0.97310627)
(1854, 0.97310078)
(801, 0.97307682)
(830, 0.97307199)
(802, 0.97303474)
(816, 0.97300547)
(871, 0.97298706)
(395, 0.9729799)
(343, 0.97289395)
(50, 0.97288102)
(3121, 0.97203249)
(104, 0.97166198)
(2713, 0.97159326)
(2714, 0.97134817)
(2817, 0.97067541)
(2709, 0.97056651)
