the similarityResults of the 712 corpus:

(712, 0.99999982)
(2290, 0.99306488)
(2313, 0.9880774)
(1983, 0.98733187)
(3029, 0.98702627)
(2301, 0.98685646)
(1689, 0.98665893)
(2356, 0.98412853)
(1792, 0.98406845)
(2940, 0.9834516)
(2069, 0.98297513)
(805, 0.98286659)
(347, 0.98270613)
(3034, 0.9824512)
(295, 0.98214984)
(2725, 0.98202956)
(2512, 0.98184824)
(2139, 0.9815622)
(2016, 0.9808374)
(1061, 0.98078161)
(2724, 0.98016053)
(5, 0.97969604)
(6, 0.97969604)
(8, 0.97969604)
(24, 0.97969604)
(35, 0.97969604)
(36, 0.97969604)
(54, 0.97969604)
(98, 0.97969604)
(196, 0.97969604)
