the similarityResults of the 3101 corpus:

(3101, 0.99999976)
(2780, 0.99874455)
(215, 0.99784094)
(1173, 0.99757373)
(797, 0.99727315)
(3060, 0.99718118)
(2817, 0.99709344)
(3282, 0.99667186)
(3100, 0.99660307)
(2745, 0.99628848)
(2738, 0.99625683)
(3120, 0.99603212)
(2507, 0.995965)
(3311, 0.9958331)
(2172, 0.99569857)
(2709, 0.99472612)
(50, 0.99461377)
(343, 0.99460739)
(395, 0.99455959)
(871, 0.99455518)
(816, 0.99454331)
(802, 0.99452347)
(3171, 0.99451351)
(830, 0.99449593)
(801, 0.99449211)
(2818, 0.99447691)
(1854, 0.99447268)
(1871, 0.99446815)
(1208, 0.99444747)
(1292, 0.99444199)
