the similarityResults of the 2257 corpus:

(2257, 1.0)
(1093, 0.9828167)
(2268, 0.97822595)
(3238, 0.97637093)
(1257, 0.97456622)
(2952, 0.97450012)
(869, 0.97382283)
(3249, 0.97296947)
(3137, 0.9699685)
(2416, 0.96992874)
(1596, 0.96893537)
(2843, 0.96818888)
(2842, 0.96590996)
(378, 0.96492773)
(3271, 0.96390456)
(2417, 0.96185863)
(2841, 0.95907307)
(2418, 0.95678663)
(3139, 0.95605326)
(2778, 0.95583659)
(146, 0.95567185)
(1282, 0.95515096)
(3255, 0.95465356)
(2146, 0.95316672)
(2064, 0.94829905)
(2654, 0.94811058)
(3141, 0.94566852)
(380, 0.9440009)
(870, 0.94224793)
(2246, 0.94108319)
