the similarityResults of the 976 corpus:

(976, 0.95528281)
(2981, 0.92380625)
(119, 0.86220324)
(2982, 0.8613984)
(809, 0.8485207)
(2984, 0.84820336)
(975, 0.83339524)
(1158, 0.83093375)
(490, 0.82655227)
(352, 0.81650895)
(1761, 0.81546527)
(3255, 0.81110936)
(3137, 0.79902601)
(2777, 0.79619396)
(3139, 0.78960776)
(2151, 0.78442729)
(2174, 0.78442311)
(2980, 0.78389424)
(977, 0.7824859)
(2985, 0.78171092)
(444, 0.77597415)
(2976, 0.77567929)
(2977, 0.77533305)
(2978, 0.77411532)
(376, 0.77265155)
(1445, 0.77119142)
(2146, 0.76426435)
(3142, 0.76224786)
(907, 0.76174563)
(375, 0.76098669)
