the similarityResults of the 1218 corpus:

(1218, 0.99999976)
(1968, 0.99971294)
(236, 0.98597229)
(1910, 0.9781934)
(1133, 0.97783995)
(2885, 0.97656798)
(1650, 0.97121489)
(192, 0.97079623)
(2884, 0.95493591)
(1980, 0.93916869)
(84, 0.92227101)
(1030, 0.91462493)
(1216, 0.9103539)
(1132, 0.90680897)
(924, 0.89545536)
(1609, 0.89462703)
(593, 0.89412117)
(1744, 0.88606995)
(237, 0.87451625)
(2886, 0.87078136)
(1031, 0.86341238)
(926, 0.86073661)
(921, 0.85750604)
(2325, 0.83872128)
(853, 0.83757126)
(82, 0.8273347)
(3092, 0.8241483)
(933, 0.82182825)
(3093, 0.8206802)
(2327, 0.81920338)
