the similarityResults of the 3095 corpus:

(3095, 0.9999662)
(3093, 0.97317326)
(1408, 0.93496263)
(382, 0.93397301)
(1151, 0.93343139)
(3092, 0.93221909)
(2992, 0.92938572)
(1068, 0.92550451)
(3309, 0.92489457)
(2080, 0.92431408)
(3276, 0.92416126)
(3310, 0.92391652)
(1608, 0.9181537)
(986, 0.91646671)
(827, 0.91483194)
(803, 0.91353399)
(804, 0.91353399)
(88, 0.91351056)
(1113, 0.91319019)
(658, 0.91268581)
(242, 0.91258621)
(241, 0.91186905)
(133, 0.91183192)
(87, 0.91166848)
(996, 0.91095006)
(2859, 0.91042447)
(921, 0.90899456)
(3312, 0.90857637)
(237, 0.90820867)
(1744, 0.90700012)
