the similarityResults of the 982 corpus:

(982, 0.99999988)
(907, 0.98699355)
(1056, 0.98675543)
(1728, 0.98631996)
(1392, 0.98604363)
(2976, 0.98477364)
(210, 0.98473048)
(1055, 0.98353624)
(2975, 0.98294723)
(2953, 0.97868383)
(1981, 0.9762404)
(2980, 0.9739331)
(2273, 0.97181869)
(2533, 0.97100973)
(1148, 0.96627027)
(2978, 0.96307594)
(975, 0.96205187)
(3325, 0.96118295)
(2272, 0.95008469)
(2152, 0.94668311)
(1391, 0.94638413)
(742, 0.94172782)
(3318, 0.94081044)
(2977, 0.93664271)
(3142, 0.93522823)
(444, 0.93405175)
(376, 0.92888635)
(334, 0.92416692)
(632, 0.92093563)
(490, 0.91918707)
